Citi_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Aykhal,RU,66.0,111.5,-26.66,100,53,6.17,broken clouds
245,Amga,RU,60.8953,131.9608,2.84,93,100,3.2,overcast clouds
246,Mae Hong Son,TH,19.3003,97.9685,77.14,88,75,0.0,mist
247,Fortuna,US,40.5982,-124.1573,45.99,94,93,3.65,overcast clouds
248,Bima,ID,-8.4667,118.7167,91.33,58,78,1.59,light rain
249,Sayyan,YE,15.1718,44.3244,47.95,51,0,3.24,clear sky
250,Ylivieska,FI,64.0833,24.55,28.45,88,100,1.72,overcast clouds
251,Mwinilunga,ZM,-11.7358,24.4293,62.26,92,79,1.54,broken clouds
252,Roald,NO,62.5833,6.1333,50.14,29,38,17.27,scattered clouds
253,Goderich,CA,43.7501,-81.7165,36.91,69,100,24.16,overcast clouds
254,Taksimo,RU,56.3444,114.8794,11.73,91,100,1.21,overcast clouds
255,Gizo,SB,-8.103,156.8419,84.13,70,87,2.64,light rain
256,Alihe,CN,50.5667,123.7167,28.96,61,5,2.62,clear sky
257,Illapel,CL,-31.6308,-71.1653,65.95,69,0,2.33,clear sky
258,Matara,LK,5.9485,80.5353,80.28,76,83,0.96,broken clouds
259,Castro,BR,-24.7911,-50.0119,49.77,67,0,4.18,clear sky
260,Miri,MY,4.4148,114.0089,77.14,94,40,5.75,scattered clouds
261,Chapais,CA,49.7834,-74.8492,17.38,93,100,9.15,light snow
262,Itum-Kale,RU,42.7356,45.5758,45.61,63,6,9.26,clear sky
263,Port Blair,IN,11.6667,92.75,78.84,83,40,3.44,scattered clouds
264,Florianopolis,BR,-27.6146,-48.5012,67.23,80,0,6.91,clear sky
265,Shuangyang,CN,43.5242,125.6736,37.81,64,1,0.6,clear sky
266,San Andres,CO,12.5847,-81.7006,82.42,78,20,8.05,few clouds
267,Mount Gambier,AU,-37.8333,140.7667,72.39,41,99,8.95,overcast clouds
268,Aden,YE,12.7794,45.0367,78.87,66,0,16.33,clear sky
269,Vao,NC,-22.6667,167.4833,75.16,80,65,14.85,broken clouds
270,Nawa,IN,27.0167,75.0,67.03,26,0,2.35,clear sky
271,Liku,ID,-0.7275,119.8922,88.43,57,100,2.73,overcast clouds
272,Belousovka,KZ,50.1339,82.5239,9.45,79,40,0.0,scattered clouds
273,Berezovyy,RU,51.6667,135.7,26.04,50,100,1.01,overcast clouds
274,Port Augusta,AU,-32.5,137.7667,80.8,28,100,28.12,overcast clouds
275,Lalsot,IN,26.5667,76.3333,68.07,29,0,1.1,clear sky
276,Pevek,RU,69.7008,170.3133,-6.7,98,100,5.66,overcast clouds
277,Lata,PT,40.1629,-8.3327,58.82,97,70,3.94,light rain
278,Antofagasta,CL,-23.65,-70.4,61.88,83,33,1.54,scattered clouds
279,Homer,US,59.6425,-151.5483,39.09,85,0,5.01,clear sky
280,Qaqortoq,GL,60.7167,-46.0333,18.39,91,100,3.2,light snow
281,Tubuala,PA,9.5167,-79.0333,77.56,89,100,11.01,light rain
282,Itacarambi,BR,-15.1022,-44.0919,70.21,85,25,2.66,scattered clouds
283,Arlit,NE,18.7369,7.3853,66.58,19,53,5.37,broken clouds
284,San Juan,AR,-31.5375,-68.5364,83.73,30,1,2.17,clear sky
285,Yining,CN,29.0361,114.5636,58.08,91,100,1.99,overcast clouds
286,Kungurtug,RU,50.5994,97.5228,7.32,86,100,1.92,overcast clouds
287,Skibbereen,IE,51.55,-9.2667,46.11,75,19,14.32,few clouds
288,San Cristobal,VE,7.7669,-72.225,71.78,96,100,2.3,overcast clouds
289,Campbell River,CA,50.0163,-125.2446,38.44,100,100,0.0,fog
290,Contai,IN,21.7786,87.7536,73.35,53,100,10.67,overcast clouds
291,Angoche,MZ,-16.2325,39.9086,76.01,85,3,6.8,clear sky
292,Dhanwar,IN,24.4167,85.9833,68.9,38,0,7.81,clear sky
293,Zemio,CF,5.0314,25.1361,67.42,90,82,1.1,broken clouds
294,Lasa,IT,46.6166,10.7002,43.68,92,100,1.41,overcast clouds
295,Athabasca,CA,54.7169,-113.2854,9.01,87,68,6.22,broken clouds
296,Slave Lake,CA,55.2834,-114.769,17.58,67,40,8.05,scattered clouds
297,Cuamba,MZ,-14.8031,36.5372,71.96,76,2,2.53,clear sky
298,Salym,RU,60.0625,71.4789,-1.61,86,77,9.95,broken clouds
299,Karratha,AU,-20.7377,116.8463,81.23,27,59,14.41,broken clouds
